No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Liquidus Temperature ( C ), Liquidus Temperature (Predictive Value), Liquidus Temperature (Residual)
1736, GP03-302474, US Patent    Saint-Gobain (FR), 2011, A0039681, 61.69, 11.96, 14.45, 8.41, 0.2, 1220.0, , 
1737, GP03-302475, US Patent    Saint-Gobain (FR), 2011, A0039681, 62.09, 10.99, 15.19, 9.06, , 1220.0, , 
1738, GP03-302476, US Patent    Saint-Gobain (FR), 2011, A0039681, 61.9, 12.35, 14.17, 7.45, 0.2, 1210.0, , 
1739, GP03-302477, US Patent    Saint-Gobain (FR), 2011, A0039681, 61.66, 12.98, 14.2, 6.36, 0.2, 1230.0, , 
1740, GP03-302955, European Patent    Saint-Gobain (FR), 2011, A2280911, 61.69, 11.96, 14.45, 8.41, 0.2, 1220.0, , 
1741, GP03-302956, European Patent    Saint-Gobain (FR), 2011, A2280911, 62.09, 10.99, 15.19, 9.06, , 1220.0, , 
1742, GP03-302957, European Patent    Saint-Gobain (FR), 2011, A2280911, 61.9, 12.35, 14.17, 7.45, 0.2, 1210.0, , 
1743, GP03-302958, European Patent    Saint-Gobain (FR), 2011, A2280911, 61.66, 12.98, 14.2, 6.36, 0.2, 1230.0, , 
1744, GP03-303254, European Patent    PPG Industries (US), 2011, A2330085, 60.57, 7.37, 3.9, 26.32, 0.89, 1181.0, , 
1745, GP03-303255, European Patent    PPG Industries (US), 2011, A2330085, 59.87, 8.03, 3.8, 25.69, 0.3, 1153.0, , 
1746, GP03-303256, European Patent    PPG Industries (US), 2011, A2330085, 59.1, 7.94, 3.88, 26.29, , 1151.0, , 
1747, GP03-303257, European Patent    PPG Industries (US), 2011, A2330085, 59.53, 7.94, 3.88, 25.86, , 1146.0, , 
1748, GP03-303258, European Patent    PPG Industries (US), 2011, A2330085, 61.01, 7.77, 4.73, 24.11, , 1159.0, , 
1749, GP03-303259, European Patent    PPG Industries (US), 2011, A2330085, 59.48, 8.07, 3.88, 25.77, , 1153.0, , 
1750, GP03-303260, European Patent    PPG Industries (US), 2011, A2330085, 60.05, 8.08, 3.8, 25.74, , 1153.0, , 
1751, GP03-303261, European Patent    PPG Industries (US), 2011, A2330085, 60.98, 7.3, 4.39, 24.24, , 1161.0, , 
1752, GP03-303262, European Patent    PPG Industries (US), 2011, A2330085, 60.31, 7.95, 3.8, 25.61, , 1156.0, , 
1753, GP03-303263, European Patent    PPG Industries (US), 2011, A2330085, 59.99, 8.21, 3.81, 25.66, , 1150.0, , 
1754, GJ02-304333, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.95, 981.0, , 
1755, GJ02-304334, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.8, 993.0, , 
1756, GJ02-304335, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.6, 1010.0, , 
1757, GJ02-304336, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.4, 994.0, , 
1758, GJ02-304337, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.2, 980.0, , 
1759, GJ02-304338, Physics and Chemistry of  Glasses, 2011, v. 052  p. 000007, 40.0, 5.0, , , 54.0, 985.0, , 
1760, GP02-306112, US Patent, 2011, A0275506, 70.66, 0.5, 5.67, 9.73, 13.21, 1001.5999999999999, , 
1761, GP02-306113, US Patent, 2011, A0275506, 70.74, 0.51, 5.83, 9.5, 13.2, 998.5, , 
1762, GP02-306114, US Patent, 2011, A0275506, 70.65, 0.51, 5.89, 9.53, 13.21, 999.3, , 
1763, GP06-306333, European Patent    Owens Corning  (US), 2011, A2379460, 62.09, 12.98, 20.9, , , 1321.0, , 
1764, GP06-306334, European Patent    Owens Corning  (US), 2011, A2379460, 62.42, 13.05, 22.51, , , 1352.0, , 
1765, GP06-306335, European Patent    Owens Corning  (US), 2011, A2379460, 69.41, 14.89, 14.96, , , 1432.0, , 
1766, GP06-306336, European Patent    Owens Corning  (US), 2011, A2379460, 64.94, 14.3, 20.04, , , 1396.0, , 
1767, GP06-306337, European Patent    Owens Corning  (US), 2011, A2379460, 68.39, 14.06, 14.74, , , 1396.0, , 
1768, GP06-306338, European Patent    Owens Corning  (US), 2011, A2379460, 68.76, 14.14, 16.37, , , 1412.0, , 
1769, GP06-306339, European Patent    Owens Corning  (US), 2011, A2379460, 64.47, 13.89, 19.89, , , 1393.0, , 
1770, GP06-306340, European Patent    Owens Corning  (US), 2011, A2379460, 65.64, 17.47, 12.63, , , 1447.0, , 
1771, GP06-306341, European Patent    Owens Corning  (US), 2011, A2379460, 65.32, 13.96, 20.0, , , 1408.0, , 
1772, GP06-306342, European Patent    Owens Corning  (US), 2011, A2379460, 66.59, 14.76, 17.19, , , 1407.0, , 
1773, GP06-306344, European Patent    Owens Corning  (US), 2011, A2379461, 72.34, 13.59, 14.07, , , 1437.0, , 
1774, GP06-306345, European Patent    Owens Corning  (US), 2011, A2379461, 69.53, 13.45, 17.02, , , 1425.0, , 
1775, GP06-306346, European Patent    Owens Corning  (US), 2011, A2379461, 69.69, 9.98, 16.33, , , 1278.0, , 
1776, GP06-306351, European Patent    Owens Corning  (US), 2011, A2379461, 73.07, 12.92, 14.01, , , 1425.0, , 
1777, GP06-306352, European Patent    Owens Corning  (US), 2011, A2379461, 66.06, 13.18, 16.67, , , 1350.0, , 
1778, GP06-306355, European Patent    Owens Corning  (US), 2011, A2379462, 71.73, 11.47, 16.8, , , 1417.0, , 
1779, GP06-306356, European Patent    Owens Corning  (US), 2011, A2379462, 68.91, 12.31, 15.2, , , 1354.0, , 
1780, GP06-306357, European Patent    Owens Corning  (US), 2011, A2379462, 69.18, 12.05, 14.69, , , 1333.0, , 
1781, GP06-306358, European Patent    Owens Corning  (US), 2011, A2379462, 75.95, 8.95, 12.08, , 0.98, 1328.0, , 
1782, GP06-306359, European Patent    Owens Corning  (US), 2011, A2379462, 67.84, 12.11, 13.79, 2.2, 1.99, 1498.0, , 
1783, GP06-306361, European Patent    Owens Corning  (US), 2011, A2379462, 75.76, 9.05, 12.21, , 2.98, 1471.0, , 
1784, GP02-307344, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 64.04, 12.22, 4.07, 7.6, 8.46, 1160.0, , 
1785, GP02-307345, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 59.65, 12.21, 7.31, 5.26, 10.57, 1150.0, , 
1786, GP02-307348, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 55.75, 14.91, 7.38, 7.66, 10.66, 1135.0, , 
1787, GP02-307349, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 59.23, 16.56, 4.19, 5.42, 10.89, 1135.0, , 
1788, GP02-307351, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 61.01, 12.91, 6.53, , 15.93, 1070.0, , 
1789, GP02-307352, Japanese Patent    Nippon Electric Glass (J), 2012, A036074, 59.57, 13.08, 6.61, , 16.13, 1055.0, , 
1790, GP02-307603, Japanese Patent    Hoya Corp. (J), 2012, A072054, 66.97, 10.97, 3.03, 2.98, 15.97, 1000.0, , 
1791, GP02-307604, Japanese Patent    Hoya Corp. (J), 2012, A072054, 65.39, 8.68, 3.53, 3.69, 16.47, 978.0, , 
1792, GP02-307605, Japanese Patent    Hoya Corp. (J), 2012, A072054, 66.71, 9.2, 3.48, 3.64, 16.27, 1021.0, , 
1793, GP02-307606, Japanese Patent    Hoya Corp. (J), 2012, A072054, 65.44, 9.42, 3.57, 3.73, 13.81, 1045.0, , 
1794, GP02-307607, Japanese Patent    Hoya Corp. (J), 2012, A072054, 65.07, 8.34, 3.54, 3.71, 15.19, 948.0, , 
1795, GP02-307608, Japanese Patent    Hoya Corp. (J), 2012, A072054, 66.65, 8.25, 3.5, 3.66, 15.02, 927.0, , 
1796, GP02-307609, Japanese Patent    Hoya Corp. (J), 2012, A072054, 65.41, 9.32, 3.53, 3.69, 15.12, 988.0, , 
1797, GP02-307610, Japanese Patent    Hoya Corp. (J), 2012, A072054, 67.25, 7.71, 3.49, 3.65, 14.96, 928.0, , 
1798, GP02-307611, Japanese Patent    Hoya Corp. (J), 2012, A072054, 66.45, 8.18, 3.55, 3.72, 13.56, 1003.0, , 
1799, GP02-307612, Japanese Patent    Hoya Corp. (J), 2012, A072054, 61.7, 11.23, 3.61, 3.78, 15.49, 1018.0, , 
1800, GP02-307678, US Patent    Hoya Corp. (J), 2012, A0052275, 66.97, 10.97, 3.03, 2.98, 15.97, 1000.0, , 
1801, GP02-307679, US Patent    Hoya Corp. (J), 2012, A0052275, 65.39, 8.68, 3.53, 3.69, 16.47, 978.0, , 
1802, GP02-307680, US Patent    Hoya Corp. (J), 2012, A0052275, 66.71, 9.2, 3.48, 3.64, 16.27, 1021.0, , 
1803, GP02-307681, US Patent    Hoya Corp. (J), 2012, A0052275, 65.44, 9.42, 3.57, 3.73, 13.81, 1045.0, , 
1804, GP02-307682, US Patent    Hoya Corp. (J), 2012, A0052275, 65.07, 8.34, 3.54, 3.71, 15.19, 948.0, , 
1805, GP02-307683, US Patent    Hoya Corp. (J), 2012, A0052275, 66.65, 8.25, 3.5, 3.66, 15.02, 927.0, , 
1806, GP02-307684, US Patent    Hoya Corp. (J), 2012, A0052275, 65.41, 9.32, 3.53, 3.69, 15.12, 988.0, , 
1807, GP02-307685, US Patent    Hoya Corp. (J), 2012, A0052275, 67.25, 7.71, 3.49, 3.65, 14.96, 928.0, , 
1808, GP02-307686, US Patent    Hoya Corp. (J), 2012, A0052275, 66.45, 8.18, 3.55, 3.72, 13.56, 1003.0, , 
1809, GP02-307687, US Patent    Hoya Corp. (J), 2012, A0052275, 61.7, 11.23, 3.61, 3.78, 15.49, 1018.0, , 
1810, GP02-307770, US Patent    Hoya Corp. (J), 2012, A0083401, 66.97, 10.97, 3.03, 2.98, 15.97, 1000.0, , 
1811, GP02-307771, US Patent    Hoya Corp. (J), 2012, A0083401, 66.71, 9.2, 3.48, 3.64, 16.27, 1021.0, , 
1812, GP02-307772, US Patent    Hoya Corp. (J), 2012, A0083401, 65.07, 8.34, 3.54, 3.71, 15.19, 948.0, , 
1813, GP02-307773, US Patent    Hoya Corp. (J), 2012, A0083401, 66.65, 8.25, 3.5, 3.66, 15.02, 927.0, , 
1814, GP02-307774, US Patent    Hoya Corp. (J), 2012, A0083401, 65.41, 9.32, 3.53, 3.69, 15.12, 988.0, , 
1815, GP02-307775, US Patent    Hoya Corp. (J), 2012, A0083401, 66.45, 8.18, 3.55, 3.72, 13.56, 1003.0, , 
1816, GP02-307776, US Patent    Hoya Corp. (J), 2012, A0083401, 61.7, 11.23, 3.61, 3.78, 15.49, 1018.0, , 
1817, GP02-307777, US Patent    Hoya Corp. (J), 2012, A0083401, 63.33, 9.85, 3.58, 3.74, 15.35, 1003.0, , 
1818, GP02-307778, US Patent    Hoya Corp. (J), 2012, A0083401, 66.5, 7.14, 3.52, 3.68, 15.08, 968.0, , 
1819, GP02-307779, US Patent    Hoya Corp. (J), 2012, A0083401, 64.6, 8.28, 6.24, 1.72, 15.08, 1112.0, , 
1820, GP03-307863, US Patent, 2012, A0129678, 61.81, 9.4, 13.11, 13.9, 0.4, 1221.0, , 
1821, GP03-307864, US Patent, 2012, A0129678, 61.67, 9.46, 13.6, 13.11, 0.18, 1200.0, , 
1822, GP03-307865, US Patent, 2012, A0129678, 61.94, 9.62, 13.39, 14.0, 0.42, 1191.0, , 
1823, GP03-307866, US Patent, 2012, A0129678, 61.68, 9.71, 13.32, 13.73, 0.2, 1208.0, , 
1824, GP03-307867, US Patent, 2012, A0129678, 61.41, 10.34, 14.32, 11.61, 0.2, 1202.0, , 
1825, GP03-307868, US Patent, 2012, A0129678, 61.09, 9.21, 12.93, 13.18, 0.39, 1207.0, , 
1826, GP03-307869, US Patent, 2012, A0129678, 62.07, 9.67, 13.0, 13.74, 0.43, 1192.0, , 
1827, GP03-307870, US Patent, 2012, A0129678, 61.0, 9.43, 13.71, 12.64, 0.17, 1223.0, , 
1828, GP03-307871, US Patent, 2012, A0129678, 61.17, 9.5, 13.37, 13.32, 0.23, 1178.0, , 
1829, GP03-307872, US Patent, 2012, A0129678, 61.48, 9.54, 13.44, 13.39, 0.43, 1197.0, , 
1830, GP02-307883, US Patent, 2012, A0132269, 71.11, 0.24, 6.01, 9.86, 12.31, 1101.6, , 
1831, GP02-307884, US Patent, 2012, A0132269, 71.09, 0.24, 6.01, 9.89, 12.31, 1018.0, , 
1832, GP02-307885, US Patent, 2012, A0132269, 70.51, 0.24, 5.93, 9.75, 13.12, 1076.1, , 
1833, GP02-307886, US Patent, 2012, A0132269, 69.57, 0.4, 6.89, 10.32, 12.36, 1048.0, , 
1834, GP02-307887, US Patent, 2012, A0132269, 67.97, 0.52, 7.97, 10.72, 12.43, 1073.0, , 
1835, GP02-307888, US Patent, 2012, A0132269, 69.53, 0.4, 6.91, 10.37, 12.44, 1082.0, , 
1836, GP02-307889, US Patent, 2012, A0132269, 67.95, 0.52, 8.0, 10.77, 12.41, 1059.7, , 
1837, GP02-307890, US Patent, 2012, A0132269, 70.55, 0.4, 6.93, 10.38, 11.39, 1096.7, , 
1838, GP02-307891, US Patent, 2012, A0132269, 69.6, 0.4, 7.98, 10.75, 10.86, 1097.5, , 
1839, GP02-307892, US Patent, 2012, A0132269, 70.12, 0.4, 7.99, 10.75, 10.39, 1106.1, , 
1840, GP03-307917, US Patent, 2012, A0135849, 60.96, 9.72, 12.24, 14.78, 0.3, 1187.0, , 
1841, GP03-307918, US Patent, 2012, A0135849, 61.23, 9.73, 14.99, 13.7, 0.03, 1196.0, , 
1842, GP03-307919, US Patent, 2012, A0135849, 61.28, 10.29, 14.31, 13.35, , 1229.0, , 
1843, GP03-307920, US Patent, 2012, A0135849, 61.35, 10.3, 14.33, 13.37, , 1235.0, , 
1844, GP03-307921, US Patent, 2012, A0135849, 61.21, 10.28, 14.3, 13.34, 0.49, 1223.0, , 
1845, GP03-307922, US Patent, 2012, A0135849, 61.32, 10.3, 14.32, 13.36, , 1233.0, , 
1846, GP03-307923, US Patent, 2012, A0135849, 61.4, 10.31, 14.34, 13.38, , 1221.0, , 
1847, GP03-307924, US Patent, 2012, A0135849, 61.42, 10.32, 14.35, 13.39, , 1234.0, , 
1848, GP03-307925, US Patent, 2012, A0135849, 61.48, 9.3, 15.31, 13.23, 0.24, 1224.0, , 
1849, GP03-307926, US Patent, 2012, A0135849, 61.42, 9.3, 15.3, 13.22, , 1209.0, , 
1850, GP06-308031, US Patent, 2012, A0163987, 62.39, 13.22, 14.1, 8.7, 1.51, 1260.0, , 
1851, GP06-308032, US Patent, 2012, A0163987, 61.65, 12.11, 15.24, 9.41, 1.5, 1241.0, , 
1852, GP06-308033, US Patent, 2012, A0163987, 61.02, 11.14, 16.23, 10.04, 1.48, 1240.0, , 
1853, GP06-308034, US Patent, 2012, A0163987, 60.52, 10.34, 17.04, 10.54, 1.47, 1252.0, , 
1854, GP06-308035, US Patent, 2012, A0163987, 60.62, 12.91, 15.63, 9.68, 1.07, 1257.0, , 
1855, GP06-308036, US Patent, 2012, A0163987, 60.68, 12.94, 15.31, 9.47, 1.51, 1264.0, , 
1856, GP06-308037, US Patent, 2012, A0163987, 60.79, 12.96, 14.59, 10.49, 1.08, 1268.0, , 
1857, GP06-308038, US Patent, 2012, A0163987, 60.27, 12.84, 15.62, 9.68, 1.5, 1265.0, , 
1858, GP06-308039, US Patent, 2012, A0163987, 60.14, 12.83, 15.53, 9.65, 1.08, 1250.0, , 
1859, GP06-308040, US Patent, 2012, A0163987, 60.99, 13.0, 13.54, 11.29, 1.08, 1291.0, , 
1860, GP02-308128, European Patent, 2012, A2414298, 70.66, 0.5, 5.67, 9.73, 13.21, 1001.5999999999999, , 
1861, GP02-308129, European Patent, 2012, A2414298, 70.74, 0.51, 5.83, 9.5, 13.2, 998.5, , 
1862, GP02-308130, European Patent, 2012, A2414298, 70.65, 0.51, 5.89, 9.53, 13.21, 999.3, , 
1863, GP02-308931, Japanese Patent    Nippon Electric Glass (J), 2012, A148909, 61.1, 12.9, 6.5, , 15.9, 1150.0, , 
1864, GP02-308932, Japanese Patent    Nippon Electric Glass (J), 2012, A148909, 60.3, 13.0, 6.6, , 16.0, 1150.0, , 
1865, GP02-308934, Japanese Patent    Nippon Electric Glass (J), 2012, A148909, 61.4, 11.0, 6.6, , 16.0, 1040.0, , 
1866, GP02-308935, Japanese Patent    Nippon Electric Glass (J), 2012, A148909, 61.1, 12.3, 6.5, , 16.0, 1120.0, , 
1867, GP02-308940, Japanese Patent    Nippon Electric Glass (J), 2012, A148909, 64.2, 10.2, 6.4, , 15.7, 980.0, , 
1868, GP02-308961, Japanese Patent    Hoya Corp. (J), 2012, A148955, 66.97, 10.97, 3.03, 2.98, 15.97, 1000.0, , 
1869, GP02-308962, Japanese Patent    Hoya Corp. (J), 2012, A148955, 66.71, 9.2, 3.48, 3.64, 16.27, 1021.0, , 
1870, GP02-308963, Japanese Patent    Hoya Corp. (J), 2012, A148955, 65.07, 8.34, 3.54, 3.71, 15.19, 948.0, , 
1871, GP02-308964, Japanese Patent    Hoya Corp. (J), 2012, A148955, 66.65, 8.25, 3.5, 3.66, 15.02, 927.0, , 
1872, GP02-308965, Japanese Patent    Hoya Corp. (J), 2012, A148955, 65.41, 9.32, 3.53, 3.69, 15.12, 988.0, , 
1873, GP02-308966, Japanese Patent    Hoya Corp. (J), 2012, A148955, 66.45, 8.18, 3.55, 3.72, 13.56, 1003.0, , 
1874, GP02-308967, Japanese Patent    Hoya Corp. (J), 2012, A148955, 61.7, 11.23, 3.61, 3.78, 15.49, 1018.0, , 
1875, GP02-308968, Japanese Patent    Hoya Corp. (J), 2012, A148955, 63.33, 9.85, 3.58, 3.74, 15.35, 1003.0, , 
1876, GP02-308969, Japanese Patent    Hoya Corp. (J), 2012, A148955, 66.5, 7.14, 3.52, 3.68, 15.08, 968.0, , 
1877, GP02-308970, Japanese Patent    Hoya Corp. (J), 2012, A148955, 64.6, 8.28, 6.24, 1.72, 15.08, 1112.0, , 
1878, GP06-309542, US Patent, 2012, A8252707, 62.09, 12.98, 20.9, , , 1326.0, , 
1879, GP06-309543, US Patent, 2012, A8252707, 62.42, 13.05, 22.51, , , 1359.0, , 
1880, GP06-309544, US Patent, 2012, A8252707, 69.41, 14.89, 14.96, , , 1436.0, , 
1881, GP06-309545, US Patent, 2012, A8252707, 64.94, 14.3, 20.04, , , 1397.0, , 
1882, GP06-309546, US Patent, 2012, A8252707, 68.39, 14.06, 14.74, , , 1403.0, , 
1883, GP06-309547, US Patent, 2012, A8252707, 68.76, 14.14, 16.37, , , 1413.0, , 
1884, GP06-309548, US Patent, 2012, A8252707, 64.47, 13.89, 19.89, , , 1400.0, , 
1885, GP06-309549, US Patent, 2012, A8252707, 65.64, 17.47, 12.63, , , 1449.0, , 
1886, GP06-309550, US Patent, 2012, A8252707, 65.32, 13.96, 20.0, , , 1412.0, , 
1887, GP06-309551, US Patent, 2012, A8252707, 66.59, 14.76, 17.19, , , 1415.0, , 
1888, GP02-309687, US Patent, 2012, A8298972, 70.66, 0.5, 5.67, 9.72, 13.21, 1001.5999999999999, , 
1889, GP02-309688, US Patent, 2012, A8298972, 70.73, 0.51, 5.83, 9.5, 13.2, 998.5, , 
1890, GP02-309689, US Patent, 2012, A8298972, 70.64, 0.51, 5.89, 9.53, 13.21, 999.3, , 
1891, GP06-309766, US Patent    Saint-Gobain (FR), 2012, A8318620, 51.27, 15.49, 7.64, 10.52, 13.22, 1190.0, , 
1892, GP06-309767, US Patent    Saint-Gobain (FR), 2012, A8318620, 53.12, 15.82, 4.98, 9.78, 12.42, 1200.0, , 
1893, GP06-309768, US Patent    Saint-Gobain (FR), 2012, A8318620, 53.66, 15.71, 3.66, 8.84, 14.81, 1220.0, , 
1894, GP06-309806, US Patent, 2012, A8338319, 72.34, 13.59, 14.07, , , 1437.0, , 
1895, GP06-309807, US Patent, 2012, A8338319, 69.53, 13.45, 17.02, , , 1425.0, , 
1896, GP06-309808, US Patent, 2012, A8338319, 69.69, 9.98, 16.33, , , 1278.0, , 
1897, GP06-309813, US Patent, 2012, A8338319, 73.07, 12.92, 14.01, , , 1425.0, , 
1898, GP06-309814, US Patent, 2012, A8338319, 66.06, 13.18, 16.67, , , 1213.0, , 
1899, GP02-309855, US Patent    Hoya Corp. (J), 2012, A0171497, 61.56, 14.01, 5.21, , 15.32, 921.0, , 
1900, GP02-309856, US Patent    Hoya Corp. (J), 2012, A0171497, 61.57, 14.01, 5.2, , 15.31, 850.0, , 
1901, GP02-309857, US Patent    Hoya Corp. (J), 2012, A0171497, 61.54, 14.01, 5.2, , 15.31, 879.0, , 
1902, GP02-309858, US Patent    Hoya Corp. (J), 2012, A0171497, 61.5, 14.0, 5.2, , 15.3, 914.0, , 
1903, GP02-309859, US Patent    Hoya Corp. (J), 2012, A0171497, 61.24, 13.99, 5.19, , 15.28, 850.0, , 
1904, GP02-309860, US Patent    Hoya Corp. (J), 2012, A0171497, 60.66, 13.09, 6.5, , 14.79, 1143.0, , 
1905, GP02-309861, US Patent    Hoya Corp. (J), 2012, A0171497, 62.23, 13.01, 5.1, , 14.71, 1071.0, , 
1906, GP02-309862, US Patent    Hoya Corp. (J), 2012, A0171497, 64.06, 13.39, 5.3, , 15.19, 927.0, , 
1907, GP02-309863, US Patent    Hoya Corp. (J), 2012, A0171497, 62.02, 14.2, 5.2, , 15.5, 943.0, , 
1908, GP02-309864, US Patent    Hoya Corp. (J), 2012, A0171497, 63.17, 12.61, 5.21, , 15.52, 700.0, , 
1909, GJ03-310501, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 64.0, 10.8, , 25.2, , 1331.0, , 
1910, GJ03-310502, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 10.2, , 23.8, , 1314.0, , 
1911, GJ03-310503, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 9.6, , 22.4, , 1322.0, , 
1912, GJ03-310504, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 9.0, , 21.0, , 1349.0, , 
1913, GJ03-310505, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 11.9, , 22.1, , 1410.0, , 
1914, GJ03-310506, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 11.2, , 20.8, , 1387.0, , 
1915, GJ03-310507, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 10.5, , 19.5, , 1360.0, , 
1916, GJ03-310508, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 9.8, , 18.2, , 1396.0, , 
1917, GJ03-310509, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 12.8, , 19.2, , 1420.0, , 
1918, GJ03-310510, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 12.0, , 18.0, , 1431.0, , 
1919, GJ03-310511, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 11.2, , 16.8, , 1404.0, , 
1920, GJ03-310512, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 74.0, 10.4, , 15.6, , 1454.0, , 
1921, GJ03-310513, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 13.5, , 16.5, , 1459.0, , 
1922, GJ03-310514, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 12.6, , 15.4, , 1463.0, , 
1923, GJ03-310515, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 74.0, 11.7, , 14.3, , 1453.0, , 
1924, GJ03-310516, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 76.0, 10.8, , 13.2, , 1456.0, , 
1925, GJ03-310517, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 14.0, , 14.0, , 1456.0, , 
1926, GJ03-310518, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 74.0, 13.0, , 13.0, , 1455.0, , 
1927, GJ03-310519, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 76.0, 12.0, , 12.0, , 1472.0, , 
1928, GJ03-310520, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 78.0, 11.0, , 11.0, , 1471.0, , 
1929, GJ03-310521, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 74.0, 14.3, , 11.7, , 1485.0, , 
1930, GJ03-310522, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 76.0, 13.2, , 10.8, , 1500.0, , 
1931, GJ03-310523, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 78.0, 12.1, , 9.9, , 1430.0, , 
1932, GJ03-310524, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 80.0, 11.0, , 9.0, , 1500.0, , 
1933, GJ03-310525, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 60.0, 12.0, 28.0, , , 1370.0, , 
1934, GJ03-310526, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 62.0, 11.4, 26.6, , , 1403.0, , 
1935, GJ03-310527, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 64.0, 10.8, 25.2, , , 1425.0, , 
1936, GJ03-310528, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 10.2, 23.8, , , 1463.0, , 
1937, GJ03-310529, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 62.0, 13.3, 24.7, , , 1411.0, , 
1938, GJ03-310530, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 64.0, 12.6, 23.4, , , 1419.0, , 
1939, GJ03-310531, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 11.9, 22.1, , , 1425.0, , 
1940, GJ03-310532, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 11.2, 20.8, , , 1461.0, , 
1941, GJ03-310533, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 64.0, 14.4, 21.6, , , 1452.0, , 
1942, GJ03-310534, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 13.6, 20.4, , , 1460.0, , 
1943, GJ03-310535, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 12.8, 19.2, , , 1460.0, , 
1944, GJ03-310536, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 12.0, 18.0, , , 1459.0, , 
1945, GJ03-310537, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 66.0, 15.3, 18.7, , , 1435.0, , 
1946, GJ03-310538, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 14.4, 17.6, , , 1453.0, , 
1947, GJ03-310539, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 13.5, 16.5, , , 1461.0, , 
1948, GJ03-310540, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 12.6, 15.4, , , 1463.0, , 
1949, GJ03-310541, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 68.0, 16.0, 16.0, , , 1460.0, , 
1950, GJ03-310542, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 15.0, 15.0, , , 1455.0, , 
1951, GJ03-310543, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 14.0, 14.0, , , 1478.0, , 
1952, GJ03-310544, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 74.0, 13.0, 13.0, , , 1480.0, , 
1953, GJ03-310545, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 70.0, 16.5, 13.5, , , 1500.0, , 
1954, GJ03-310546, J. Non-Crystalline Solids, 2013, v. 363  p. 000039, 72.0, 15.4, 12.6, , , 1500.0, , 
